source_variant=debug; package=com.shaterguy.chatgptselfrun.drive; version=2.3.2-dev19; live_service=false; image_type=Android_UiAutomation_screenshot
360-light-1.0-main-empty.png 360x1000; widthDp=360; fontScale=1.0; night=16
360-light-1.0-main-running.png 360x1000; widthDp=360; fontScale=1.0; night=16
360-light-1.0-main-submitting.png 360x1000; widthDp=360; fontScale=1.0; night=16
360-light-1.0-main-paused.png 360x1000; widthDp=360; fontScale=1.0; night=16
360-light-1.0-main-reserved.png 360x1000; widthDp=360; fontScale=1.0; night=16
360-light-1.0-main-locked.png 360x1000; widthDp=360; fontScale=1.0; night=16
360-light-1.0-main-done.png 360x1000; widthDp=360; fontScale=1.0; night=16
360-light-1.0-main-error.png 360x1000; widthDp=360; fontScale=1.0; night=16
360-light-1.0-new-work.png 360x1000; widthDp=360; fontScale=1.0; night=16
360-light-1.0-new-chat-ime.png 360x1000; widthDp=360; fontScale=1.0; night=16
360-light-1.0-history.png 360x1000; widthDp=360; fontScale=1.0; night=16
360-light-1.0-settings.png 360x1000; widthDp=360; fontScale=1.0; night=16
360-light-1.0-drive.png 360x1000; widthDp=360; fontScale=1.0; night=16
360-light-1.0-profiles.png 360x1000; widthDp=360; fontScale=1.0; night=16
360-light-1.0-detail.png 360x1000; widthDp=360; fontScale=1.0; night=16
360-light-1.0-logs.png 360x1000; widthDp=360; fontScale=1.0; night=16
360-light-1.0-restart-error.png 360x1000; widthDp=360; fontScale=1.0; night=16
360-light-1.0-browser.png 360x1000; widthDp=360; fontScale=1.0; night=16
360-light-1.0-calibration.png 360x1000; widthDp=360; fontScale=1.0; night=16
360-light-2.0-main-empty.png 360x1000; widthDp=360; fontScale=2.0; night=16
360-light-2.0-main-running.png 360x1000; widthDp=360; fontScale=2.0; night=16
360-light-2.0-main-submitting.png 360x1000; widthDp=360; fontScale=2.0; night=16
360-light-2.0-main-paused.png 360x1000; widthDp=360; fontScale=2.0; night=16
